tour,calendar_year,date,event_name,event_id,sg_categories,traditional_stats
bet,2022,2022-07-17,Altron Big Easy Tour 7,9619,no,no
pga,2022,2022-07-17,The Open Championship,100,yes,yes
pga,2022,2022-07-17,Barracuda Championship,472,no,basic
pgt,2022,2022-07-17,Weihenstephan Open 2022,9618,no,no
ept,2022,2022-07-17,CPG Classic - England & Wales Blind Golf,9617,no,no
cha,2022,2022-07-17,Euram Bank Open,2022316,no,no
alp,2022,2022-07-17,Fred Olsen Alps de La Gomera 2022,9616,no,no
kft,2022,2022-07-17,Memorial Health Championship presented by LRS,122,no,no
pga,2022,2022-07-10,Barbasol Championship,518,yes,yes
bet,2022,2022-07-10,Altron Big Easy Tour 6,9609,no,no
alp,2022,2022-07-10,Alps de Las Castillas 2022,9607,no,no
cha,2022,2022-07-10,Le Vaudreuil Golf Challenge,2022315,no,no
chn,2022,2022-07-10,Hangzhou International Championship,9606,no,no
pga,2022,2022-07-10,Genesis Scottish Open,541,yes,yes
champ,2022,2022-07-10,Bridgestone SENIOR PLAYERS Championship,507,no,no
cha,2022,2022-07-03,Italian Challenge Open,2022314,no,no
alp,2022,2022-07-03,Hauts de France-Pas de Calais Golf Open 2022,9597,no,no
bet,2022,2022-07-03,Altron Big Easy Tour 5,9601,no,no
pgt,2022,2022-07-03,Raiffeisen Pro Golf Tour St. Pölten 2022,9600,no,no
kor,2022,2022-07-03,Asiad CC Busan Open,9595,no,no
euro,2022,2022-07-03,Horizon Irish Open,2022122,no,no
ngl,2022,2022-07-03,PGA Championship Landeryd Masters,9599,no,no
liv,2022,2022-07-03,Portland,2,no,basic
can,2022,2022-07-03,Prince Edward Island Open presented by IMP Solutions,52,no,no
pga,2022,2022-07-03,John Deere Classic,30,yes,yes
ept,2022,2022-07-03,The PDC Golf Championship,9598,no,no
kft,2022,2022-07-03,The Ascendant presented by Blue,130,no,no
sam,2022,2022-06-26,Bupa Tour Championship,57,no,no
ept,2022,2022-06-26,The Bendac Championship,9586,no,no
pgt,2022,2022-06-26,Gradi Polish Open 2022,9588,no,no
champ,2022,2022-06-26,U.S. Senior Open Championship,512,no,no
atvt,2022,2022-06-26,Daisendori Cup,9589,no,no
bet,2022,2022-06-26,Altron Big Easy Tour 4,9590,no,no
cha,2022,2022-06-26,Blot Open de Bretagne,2022313,no,no
atgt,2022,2022-06-26,Singha all Thailand Premier Championship 2022,9584,no,no
jpn,2022,2022-06-26,JAPAN PLAYERS CHAMPIONSHIP by Sato Shokuhin,9577,no,no
pga,2022,2022-06-26,Travelers Championship,34,yes,yes
kft,2022,2022-06-26,Live and Work in Maine Open,136,no,no
euro,2022,2022-06-26,BMW International Open,2022121,no,no
ngl,2022,2022-06-26,UNICEF Championship,9587,no,no
kor,2022,2022-06-26,Kolon The 64th Korea Open,9580,no,no
alp,2022,2022-06-26,Alps de Andalucia 2022,9585,no,no
adt,2022,2022-06-19,Indo Masters Golf Invitational presented by TNE,9567,no,no
kor,2022,2022-06-19,Hana Bank Invitational,9565,no,no
alp,2022,2022-06-19,Aravell Golf Open by Credit Andorra 2022,9568,no,no
pga,2022,2022-06-19,U.S. Open,26,yes,basic
cha,2022,2022-06-19,Kaskáda Golf Challenge,2022312,no,no
bet,2022,2022-06-19,Altron Big Easy Tour 3,9572,no,no
can,2022,2022-06-19,ATB Classic presented by Volvo Edmonton,3,no,no
atvt,2022,2022-06-19,Japan Create Challenge in FukuokaRaizan,9571,no,no
kft,2022,2022-06-19,Wichita Open Benefitting KU Wichita Pediatrics,23,no,no
ept,2022,2022-06-19,IFX Payments Championship,9569,no,no
ngl,2022,2022-06-19,Junet Open presented by Alexander Björk,9570,no,no
euro,2022,2022-06-12,Volvo Car Scandinavian Mixed,2022119,no,no
kft,2022,2022-06-12,BMW Charity Pro-Am presented by TD SYNNEX,37,no,no
alp,2022,2022-06-12,Open de la Mirabelle d'Or 2022,9558,no,no
sam,2022,2022-06-12,Fortox Colombia Classic,11,no,no
ept,2022,2022-06-12,The World Snooker & Jessie May Champs,9559,no,no
pga,2022,2022-06-12,RBC Canadian Open,32,yes,yes
kor,2022,2022-06-12,65TH KPGA CHAMPIONSHIP WITH A-ONE CC,9557,no,no
cha,2022,2022-06-12,Empordà Challenge,2022311,no,no
jpn,2022,2022-06-12,ASO IIZUKA Challenged Golf Tournament,9555,no,no
champ,2022,2022-06-12,American Family Insurance Championship,622,no,no
atvt,2022,2022-06-12,LANDIC CHALLENGE 9,9556,no,no
ngl,2022,2022-06-12,Thomas Bjorn Samso Classic - by Samso Festival,9560,no,no
bet,2022,2022-06-12,Altron Big Easy Tour 2 - Huddle Park Golf Club,9554,no,no
adt,2022,2022-06-12,OB Golf Invitational,9561,no,no
afr,2022,2022-06-12,KitKat Group PROAM,9553,no,no
liv,2022,2022-06-11,London,1,no,basic
afr,2022,2022-06-05,SunBet Challenge hosted by Sun City,9544,no,no
euro,2022,2022-06-05,Porsche European Open,2022118,no,no
sam,2022,2022-06-05,Volvo Golf Championship by Seguros del Estado,59,no,no
can,2022,2022-06-05,Royal Beach Victoria Open presented by Times Colonist,2,no,no
pga,2022,2022-06-05,the Memorial Tournament presented by Workday,23,yes,yes
ngl,2022,2022-06-05,Thisted Forsikring Championship,9546,no,no
asa,2022,2022-06-05,International Series England,9540,no,no
ept,2022,2022-06-05,The Ignis Management Championship,9545,no,no
champ,2022,2022-06-05,Principal Charity Classic,608,no,no
kor,2022,2022-06-05,SK Telecom Open 2022,9542,no,no
cha,2022,2022-06-05,D+D REAL Czech Challenge,2022310,no,no
jpn,2022,2022-06-05,BMW Japan Golf Tour Championship Mori Building Cup,9538,no,no
kft,2022,2022-06-05,REX Hospital Open,48,no,no
afr,2022,2022-05-29,Sishen Classic,9526,no,no
atvt,2022,2022-05-29,Taiheiyo Club Challenge Tournament,9535,no,no
champ,2022,2022-05-29,KitchenAid Senior PGA Championship,520,no,no
kor,2022,2022-05-29,KB FINANCE LIIV CHAMPIONSHIP,9528,no,no
alp,2022,2022-05-29,Memorial Giorgio Bordoni 2022,9531,no,no
jpn,2022,2022-05-29,Gate Way To The Open Mizuno Open,9524,no,no
atgt,2022,2022-05-29,Singha Laguna Phuket Open 2022,9530,no,no
ngl,2022,2022-05-29,Moss & Rygge Open,9533,no,no
euro,2022,2022-05-29,Dutch Open,2022117,no,no
kft,2022,2022-05-29,NV5 Invitational presented by Old National Bank,131,no,no
cha,2022,2022-05-29,Farmfoods Scottish Challenge supported by The R&A,2022309,no,no
pga,2022,2022-05-29,Charles Schwab Challenge,21,yes,yes
ept,2022,2022-05-29,Cubefunder Shootout,9532,no,no
mgt,2022,2022-05-22,Blue Canyon Open,9519,no,no
pga,2022,2022-05-22,PGA Championship,33,yes,yes
kft,2022,2022-05-22,AdventHealth Championship,100,no,no
ngl,2022,2022-05-22,Stora Hotellet Fjällbacka Open,9520,no,no
cha,2022,2022-05-22,Challenge de España ,2022307,no,no
jpn,2022,2022-05-22,Golf Partner Pro-Am Tournament 2022,9515,no,no
afr,2022,2022-05-22,FBC Zim Open,9517,no,no
champ,2022,2022-05-15,Regions Tradition,558,no,no
kft,2022,2022-05-15,Visit Knoxville Open,11,no,no
bet,2022,2022-05-15,Altron Big Easy Tour 1 - Blue Valley,9512,no,no
alp,2022,2022-05-15,30th Goesser Open 2022,9508,no,no
pga,2022,2022-05-15,AT&T Byron Nelson,19,yes,yes
afr,2022,2022-05-15,Lombard Insurance Classic,9513,no,no
ngl,2022,2022-05-15,Rewell Elisefarm Challenge,9509,no,no
asa,2022,2022-05-15,Asia Pacific Open Golf Championship Diamond Cup Golf,9505,no,no
euro,2022,2022-05-15,Soudal Open,2022115,no,no
kor,2022,2022-05-15,Woori Financial Group Championship,9507,no,no
adt,2022,2022-05-15,Laguna Phuket Cup,9510,no,no
adt,2022,2022-05-15,Blue Canyon Classic,9511,no,no
alp,2022,2022-05-08,Molinetto Alps Open 2022,9502,no,no
sam,2022,2022-05-08,Quito Open,22,no,no
anz,2022,2022-05-08,2021 Tailor-made Building Services NT PGA Championship,9500,no,no
kft,2022,2022-05-08,Simmons Bank Open for the Snedeker Foundation,120,no,no
ngl,2022,2022-05-08,Barncancerfonden Open presented by Ahlsell,9501,no,no
euro,2022,2022-05-08,Betfred British Masters hosted by Danny Willett,2022114,no,no
champ,2022,2022-05-08,Mitsubishi Electric Classic,15,no,no
pga,2022,2022-05-08,Wells Fargo Championship,480,yes,yes
mgt,2022,2022-05-08,Laguna Phuket Challenge,9499,no,no
kor,2022,2022-05-08,The 41st GS Caltex Maekyung Open,9496,no,no
champ,2022,2022-05-01,Insperity Invitational,615,no,no
atgt,2022,2022-05-01,Singha Classic 2022,9491,no,no
afr,2022,2022-05-01,The Tour Championship,9487,no,no
pgt,2022,2022-05-01,Haugschlag NÖ Open by perfect eagle 2022,9492,no,no
pga,2022,2022-05-01,Mexico Open at Vidanta,540,yes,yes
euro,2022,2022-05-01,Catalunya Championship,2022151,no,no
anz,2022,2022-05-01,2021 Nexus Advisernet WA Open,9490,no,no
ngl,2022,2022-05-01,Bravo Tours Open by Enjoy Resorts,9488,no,no
sam,2022,2022-05-01,Diners Club Peru Open presented by Volvo,8,no,no
jpn,2022,2022-05-01,The Crowns,9485,no,no
kft,2022,2022-05-01,Huntsville Championship,134,no,no
champ,2022,2022-04-24,ClubCorp Classic,53,no,no
sam,2022,2022-04-24,JHSF Aberto do Brasil,6,no,no
jpn,2022,2022-04-24,ISPS HANDA Championship in JAPAN,9476,no,no
pgt,2022,2022-04-24,Red Sea Egyptian Classic 2022,9481,no,no
euro,2022,2022-04-24,ISPS Handa Championship in Spain,2022149,no,no
pgti,2022,2022-04-24,Prometheus School presents Delhi-NCR Open 2022,9480,no,no
atvt,2022,2022-04-24,i Golf Shaper Challenge in Chikushigaoka,9482,no,no
anz,2022,2022-04-24,2021 CKB WA PGA Championship presented by TX Civil & Logistics,9479,no,no
afr,2022,2022-04-24,Stella Artois Players Championship,9477,no,no
pgti,2022,2022-04-17,TATA Steel PGTI Players Championship 2022 presented by Chandigarh Golf Club,9471,no,no
pga,2022,2022-04-17,RBC Heritage,12,yes,yes
pgt,2022,2022-04-17,Red Sea Ain Sokhna Classic 2022,9473,no,no
jpn,2022,2022-04-17,Kansai Open Golf Championship,9467,no,no
kor,2022,2022-04-17,17TH BD DAMAGE INSURANCE PROMY OPEN,9470,no,no
asa,2022,2022-04-17,Trust Golf Asian Mixed Stableford Challenge,9469,no,no
alp,2022,2022-04-17,Abruzzo Alps Open 2022,9472,no,no
kft,2022,2022-04-16,Veritex Bank Championship,137,no,no
pga,2022,2022-04-10,The Masters,14,yes,yes
atgt,2022,2022-04-10,Singha all Thailand Memorial 2022,9465,no,no
atvt,2022,2022-04-10,Novil Cup,9463,no,no
asa,2022,2022-04-10,Trust Golf Asian Mixed Cup,9462,no,no
anz,2022,2022-04-10,The National PGA Classic,9464,no,no
pga,2022,2022-04-03,Valero Texas Open,41,yes,yes
jpn,2022,2022-04-03,Token Homemate Cup 2022,9456,no,no
cha,2022,2022-04-03,Limpopo Championship,2022305,no,no
kft,2022,2022-04-03,Club Car Championship at The Landings Club,128,no,no
sam,2022,2022-04-03,90 Abierto del Centro memorial Eduardo Gato Romero ptdo por Telecom,15,no,no
pgti,2022,2022-04-03,Gurugram Challenge 2022 Tata Steel PGT-ADT hosted by Classic Golf & Country Club,9459,no,no
champ,2022,2022-04-03,Rapiscan Systems Classic,11,no,no
sam,2022,2022-03-27,Termas de Rio Hondo Invitational,42,no,no
kft,2022,2022-03-27,Lake Charles Championship,135,no,no
pgt,2022,2022-03-27,NewGiza Pyramids Challenge 2022,9454,no,no
asa,2022,2022-03-27,The DGC Open presented by Mastercard,9452,no,no
cha,2022,2022-03-27,SDC Open,2022303,no,no
pgt,2022,2022-03-27,Allegria Open 2022,9451,no,no
euro,2022,2022-03-27,Commercial Bank Qatar Masters,2022106,no,no
pga,2022,2022-03-27,Corales Puntacana Championship,522,no,basic
alp,2022,2022-03-27,Winter Series Golf Nazionale,9453,no,no
pgt,2022,2022-03-20,Dreamland Pyramids Classic 2022,9444,no,no
kft,2022,2022-03-20,Chitimacha Louisiana Open presented by MISTRAS,36,no,no
pga,2022,2022-03-20,Valspar Championship,475,yes,yes
anz,2022,2022-03-20,Golf Challenge NSW Open,9440,no,no
pgti,2022,2022-03-20,TATA Steel PGTI Players Championship 2022 presented by Tollygunge Club,9442,no,no
euro,2022,2022-03-20,Steyn City Championship,2022147,no,no
alp,2022,2022-03-20,Winter Series Terre dei Consoli,9443,no,no
euro,2022,2022-03-13,MyGolfLife Open hosted by Pecanwood,2022146,no,no
pgti,2022,2022-03-13,Mujib Borsho Chattogram Open 2022,9437,no,no
pga,2022,2022-03-13,THE PLAYERS Championship,11,yes,yes
anz,2022,2022-03-13,"TPS Hunter Valley, Hosted by Jan Stephenson & Peter O'Malley",9436,no,no
asa,2022,2022-03-06,International Series Thailand,9426,no,no
ngl,2022,2022-03-06,ECCO Tour Spanish Masters - by DAT,9431,no,no
euro,2022,2022-03-06,Magical Kenya Open,2022108,no,no
cha,2022,2022-03-06,Mangaung Open,2022304,no,no
pgti,2022,2022-03-06,Glade One Masters 2022,9429,no,no
anz,2022,2022-03-06,"TPS Sydney, Hosted by Braith Anasta",9428,no,no
champ,2022,2022-03-06,Hoag Classic,573,no,no
ngl,2022,2022-03-06,PGA Catalunya Resort Championship,9433,no,no
alp,2022,2022-03-06,Red Dea Little Venice Open 2022,9430,no,no
pga,2022,2022-03-06,Arnold Palmer Invitational presented by Mastercard,9,yes,yes
alp,2022,2022-03-06,New Giza Open 2022,9432,no,no
pga,2022,2022-03-06,Puerto Rico Open,483,no,basic
alp,2022,2022-02-27,Ein Bay Open 2022,9419,no,no
ngl,2022,2022-02-27,GolfStar Winter Series II,9421,no,no
pga,2022,2022-02-27,The Honda Classic,10,yes,yes
champ,2022,2022-02-27,Cologuard Classic,18,no,no
pgti,2022,2022-02-27,Gujarat Open Golf Championship 2022 presented by Gujarat Tourism,9422,no,no
asa,2022,2022-02-27,Royal's Cup 2022,9417,no,no
cha,2022,2022-02-27,Jonsson Workwear Open,2022302,no,no
sam,2022,2022-02-20,Estrella del Mar Open 2022,21,no,no
pga,2022,2022-02-20,The Genesis Invitational,7,yes,yes
cha,2022,2022-02-20,Bain's Whisky Cape Town Open,2022301,no,no
anz,2022,2022-02-20,TPS Murray River in honour of Jarrod Lyle,9415,no,no
champ,2022,2022-02-20,Chubb Classic,552,no,no
ngl,2022,2022-02-20,GolfStar Winter Series I,9420,no,no
kft,2022,2022-02-20,LECOM Suncoast Classic,129,no,no
kft,2022,2022-02-13,Astara Golf Championship presented by Mastercard,104,no,no
euro,2022,2022-02-13,Ras al Khaimah Classic ,2022148,no,no
atgt,2022,2022-02-13,Singha E-San Open,9410,no,no
anz,2022,2022-02-13,Vic Open,9409,no,no
cha,2022,2022-02-13,Dimension Data Pro-Am,2022300,no,no
pga,2022,2022-02-13,WM Phoenix Open,3,yes,yes
asa,2022,2022-02-06,PIF Saudi International powered by SoftBank Investment Advisers,9402,no,no
euro,2022,2022-02-06,Ras al Khaimah Championship presented by Phoenix Capital,2022105,no,no
pga,2022,2022-02-06,AT&T Pebble Beach Pro-Am,5,partial,partial
kft,2022,2022-02-06,The Panama Championship,84,no,no
anz,2022,2022-02-06,TPS Victoria Hosted by Geoff Ogilvy,9403,no,no
afr,2022,2022-01-30,Vodacom Origins of Golf Final,9398,no,no
atgt,2022,2022-01-30,Boonchu Ruangkit Championship 2022,9397,no,no
euro,2022,2022-01-30,Slync.io Dubai Desert Classic,2022104,no,no
pga,2022,2022-01-29,Farmers Insurance Open,4,partial,partial
kft,2022,2022-01-26,The Bahamas Great Abaco Classic at The Abaco Club,125,no,no
asa,2022,2022-01-23,SMBC Singapore Open,9391,no,no
anz,2022,2022-01-23,Queensland PGA Championship,9392,no,no
euro,2022,2022-01-23,Abu Dhabi HSBC Championship,2022103,no,no
pga,2022,2022-01-23,The American Express,2,partial,partial
champ,2022,2022-01-22,Mitsubishi Electric Championship at Hualalai,524,no,no
kft,2022,2022-01-19,The Bahamas Great Exuma Classic at Sandals Emerald Bay,124,no,no
anz,2022,2022-01-16,Fortinet Australian PGA Championship,9383,no,no
pga,2022,2022-01-16,Sony Open in Hawaii,6,yes,yes
asa,2022,2022-01-16,The Singapore International,9380,no,no
pga,2022,2022-01-09,Sentry Tournament of Champions,16,yes,yes
pgti,2021,2021-12-19,Tata Steel Tour Championship,9376,no,no
anz,2021,2021-12-19,Gippsland Super 6,9373,no,no
chn,2021,2021-12-19,Volvo China Open,9374,no,no
atgt,2021,2021-12-19,22nd Singha Thailand Masters,9375,no,no
bet,2021,2021-12-12,Big Easy Tour Champs,9372,no,no
sam,2021,2021-12-12,Scotia Wealth Management Chile Open presented by Volvo,16,no,no
anz,2021,2021-12-12,Victorian PGA Championship,9371,no,no
sam,2021,2021-12-05,115 VISA Argentine Open presented by Macro,13,no,no
afr,2021,2021-12-05,SA Open Championship,9362,no,no
pgti,2021,2021-12-05,Pune Open Golf Championship 202,9367,no,no
asa,2021,2021-12-05,Laguna Phuket Championship 2021,9366,no,no
pga,2021,2021-12-05,Hero World Challenge,478,no,no
jpn,2021,2021-12-05,Golf Nippon Series JT Cup,9365,no,no
pgti,2021,2021-11-28,ICC RCGC Open Golf Championship 2021 powered by Urbana,9361,no,no
asa,2021,2021-11-28,Blue Canyon Phuket Championship 2021,9359,no,no
jpn,2021,2021-11-28,Casio World Open,9358,no,no
euro,2021,2021-11-28,Joburg Open,2022100,no,no
pga,2021,2021-11-21,The RSM Classic,493,partial,partial
euro,2021,2021-11-21,"DP WORLD TOUR CHAMPIONSHIP, DUBAI",2021143,no,no
pgti,2021,2021-11-21,IndianOil Servo Masters Golf 2021,9356,no,no
jpn,2021,2021-11-21,Dunlop Phoenix,9354,no,no
atgt,2021,2021-11-21,Singha Chiang Mai Open 2021,9355,no,no
bet,2021,2021-11-21,Big Easy Play Off 2,9357,no,no
pgti,2021,2021-11-14,Jeev Milkha Singh Invitational 2021 presented by TAKE,9349,no,no
champ,2021,2021-11-14,Charles Schwab Cup Championship,47,no,no
atgt,2021,2021-11-14,Singha Classic 2021,9348,no,no
pga,2021,2021-11-14,Hewlett Packard Enterprise Houston Open,20,yes,yes
euro,2021,2021-11-14,AVIV Dubai Championship,2021157,no,no
jpn,2021,2021-11-14,Mitsui Sumitomo VISA Taiheiyo Masters,9347,no,no
bet,2021,2021-11-14,Big Easy Play Off 1,9350,no,no
chn,2021,2021-11-07,Hengdian Championship,9341,no,no
kor,2021,2021-11-07,LG SIGNATURE Players Championship,9340,no,no
euro,2021,2021-11-07,Portugal Masters,2021156,no,no
pga,2021,2021-11-07,World Wide Technology Championship at Mayakoba,457,no,basic
atgt,2021,2021-11-07,Singha E-San Open 2021,9342,no,no
bet,2021,2021-11-07,Big Easy Road to #18 Modderfontein Golf Club,9343,no,no
jpn,2021,2021-11-07,Mynavi ABC Championship,9337,no,no
cha,2021,2021-11-07,Rolex Challenge Tour Grand Final supported by The R&A,2021324,no,no
afr,2021,2021-11-07,PGA Championship,9338,no,no
champ,2021,2021-11-07,TimberTech Championship,50,no,no
pga,2021,2021-10-31,Butterfield Bermuda Championship,528,no,basic
bet,2021,2021-10-31,Big Easy Road to #17 Pecanwood Country Club,9334,no,no
jpn,2021,2021-10-31,ISPS HANDA Gatsu-n to tobase Tour tournament,9332,no,no
atgt,2021,2021-10-31,Thailand Open 2021,9333,no,no
champ,2021,2021-10-24,Dominion Energy Charity Classic,46,no,no
kor,2021,2021-10-24,Hana Bank Invitational,9326,no,no
pga,2021,2021-10-24,ZOZO CHAMPIONSHIP,527,no,no
euro,2021,2021-10-24,Mallorca Golf Open,2021155,no,no
ept,2021,2021-10-24,The Matchroom Tour Championship,9328,no,no
ngl,2021,2021-10-24,Road to Europe Tour Final,9329,no,no
atvt,2021,2021-10-24,Delight Works JGTO FINAL,9330,no,no
atgt,2021,2021-10-24,Singha Pattaya Open 2021,9327,no,no
afr,2021,2021-10-24,Blair Atholl Championship delivered by The Courier Guy,9324,no,no
cha,2021,2021-10-22,Challenge Costa Brava,2021337,no,no
ngl,2021,2021-10-17,MoreGolf Mastercard Tour Final at PGA Sweden National,9318,no,no
pga,2021,2021-10-17,THE CJ CUP @ SUMMIT,521,yes,yes
alp,2021,2021-10-17,Emilia-Romagna Alps Tour Grand Final,9320,no,no
jpn,2021,2021-10-17,Japan Open Golf Championship,9316,no,no
euro,2021,2021-10-17,Estrella Damm N.A. Andalucía Masters,2021137,no,no
champ,2021,2021-10-17,SAS Championship,45,no,no
cha,2021,2021-10-17,Empordà Challenge,2021336,no,no
pgti,2021,2021-10-17,Jaipur Open,9319,no,no
pgti,2021,2021-10-10,TATA Steel PGTI MP Cup 2021 presented by Delhi Golf Club supported by Just In Time Sports Foundation,9311,no,no
pgt,2021,2021-10-10,Castanea Resort Championship,9309,no,no
pga,2021,2021-10-10,Shriners Children's Open,47,yes,yes
euro,2021,2021-10-10,ACCIONA Open de España,2021136,no,no
alp,2021,2021-10-10,Golf Nazionale Alps Open,9307,no,no
kor,2021,2021-10-10,Genesis Championship,9312,no,no
champ,2021,2021-10-10,Constellation FURYK & FRIENDS,44,no,no
atgt,2021,2021-10-10,Singha Laguna Phuket Open,9310,no,no
jpn,2021,2021-10-10,Bridgestone Open,9304,no,no
ngl,2021,2021-10-10,Race to HimmerLand by FREJA,9308,no,no
atvt,2021,2021-10-10,Ryo Ishikawa everyone PROJECT Challenge,9305,no,no
atvt,2021,2021-10-03,TI Challenge in Tojonomori,9298,no,no
afr,2021,2021-10-03,Vodacom Origins of Golf - Humewood,9299,no,no
cha,2021,2021-10-03,Swiss Challenge,2021321,no,no
ngl,2021,2021-10-03,Visby Open by Destination Gotland,9297,no,no
bet,2021,2021-10-03,Big Easy Road to #16 Services,9300,no,no
kor,2021,2021-10-03,Hyundai Insurance KJ Choi Invitational,9296,no,no
jpn,2021,2021-10-03,Vantelin Tokai Classic,9294,no,no
pga,2021,2021-10-03,Sanderson Farms Championship,54,yes,yes
euro,2021,2021-10-03,Alfred Dunhill Links Championship,2021135,no,no
atgt,2021,2021-09-26,Singha all Thailand Championship 2021,9288,no,no
jpn,2021,2021-09-26,Panasonic Open,9283,no,no
bet,2021,2021-09-26,Big Easy Road to #15 Riviera on Vaal,9289,no,no
atvt,2021,2021-09-26,ISPS HANDA Hero ni nare! Challenge Tournament,9285,no,no
champ,2021,2021-09-26,PURE Insurance Championship,43,no,no
cha,2021,2021-09-26,Open de Portugal at Royal Óbidos,2021320,no,no
atvt,2021,2021-09-19,PGM Challenge,9277,no,no
euro,2021,2021-09-19,Dutch Open,2021133,no,no
afr,2021,2021-09-19,Vodacom Origins of Golf - Mt Edgecombe,9278,no,no
pgti,2021,2021-09-19,J&K Open 2021 presented by J&K Tourism,9274,no,no
cha,2021,2021-09-19,Hopps Open de Provence,2021327,no,no
kor,2021,2021-09-19,2021 DGB Financial Group Irvine Open,9273,no,no
ngl,2021,2021-09-19,Great Northern Challenge,9276,no,no
pga,2021,2021-09-19,Fortinet Championship,464,yes,yes
ept,2021,2021-09-19,Castletown Golf Links,9275,no,no
jpn,2021,2021-09-19,ANA Open,9271,no,no
afr,2021,2021-09-12,Sunshine Tour Invitational,9264,no,no
cha,2021,2021-09-12,Big Green Egg German Challenge powered by VcG,2021319,no,no
ept,2021,2021-09-12,The Motocaddy Masters,9268,no,no
euro,2021,2021-09-12,BMW PGA CHAMPIONSHIP,2021132,no,no
ngl,2021,2021-09-12,TRUST Forsikring Championship,9267,no,no
kor,2021,2021-09-12,The 37th Shinhan Donghae Open,9265,no,no
pgti,2021,2021-09-12,TATA Steel PGTI Players Championship 2021 presented by Govt. of Haryana & Panchkula Golf Club,9269,no,no
alp,2021,2021-09-12,Alps de Andalucia,9266,no,no
champ,2021,2021-09-12,Ascension Charity Classic,625,no,no
can,2021,2021-09-10,Forme Tour Championship,64,no,no
euro,2021,2021-09-05,DS Automobiles Italian Open,2021131,no,no
kft,2021,2021-09-05,Korn Ferry Tour Championship presented by United Leasing & Finance,154,no,no
pgti,2021,2021-09-05,Golconda Masters Telangana Open 2021 presented by Vooty & Haldi,9254,no,no
kor,2021,2021-09-05,BIZPLAY-Electronic Times OPEN,9252,no,no
pgt,2021,2021-09-05,FaberExposize Gelpenberg Open 2021,9257,no,no
cha,2021,2021-09-05,British Challenge Presented by Modest! Golf Management,2021318,no,no
pga,2021,2021-09-05,TOUR Championship,60,yes,yes
bet,2021,2021-09-05,Big Easy Road to #14 ERPM Golf Club,9258,no,no
ngl,2021,2021-09-05,Timberwise Finnish Open,9256,no,no
jpn,2021,2021-09-05,Fujisankei Classic,9250,no,no
ept,2021,2021-09-05,The Studley Wood Championship,9255,no,no
can,2021,2021-09-04,Rolling Green Championship,68,no,no
champ,2021,2021-08-29,The Ally Challenge,41,no,no
cha,2021,2021-08-29,B-NL Challenge Trophy,2021317,no,no
kft,2021,2021-08-29,Nationwide Children's Hospital Championship,153,no,no
euro,2021,2021-08-29,Omega European Masters,2021130,no,no
bet,2021,2021-08-29,Big Easy Road to # 13 Centurion Country Club,9246,no,no
ngl,2021,2021-08-29,Thisted Forsikring Championship,9243,no,no
pga,2021,2021-08-29,BMW Championship,28,yes,yes
jpn,2021,2021-08-29,Sansan KBC Augusta,9240,no,no
pgt,2021,2021-08-29,ALTEPRO Trophy 2021,9244,no,no
afr,2021,2021-08-29,Vodacom Origins of Golf - Sishen,9245,no,no
pgt,2021,2021-08-22,Starnberg Open 2021,9229,no,no
euro,2021,2021-08-22,D+D Real Czech Masters,2021129,no,no
champ,2021,2021-08-22,Boeing Classic,619,no,no
kft,2021,2021-08-22,Albertsons Boise Open presented by Chevron,152,no,no
ept,2021,2021-08-22,NI Masters hosted by Jonathan Caldwell,9227,no,no
jpn,2021,2021-08-22,Shigeo Nagashima Invitational Sega Sammy Cup,9233,no,no
ngl,2021,2021-08-22,Bråviken Open,9236,no,no
pga,2021,2021-08-22,THE NORTHERN TRUST,27,yes,yes
alp,2021,2021-08-22,Gosser Open,9226,no,no
ngl,2021,2021-08-22,PGA Championship Landeryd Masters,9228,no,no
afr,2021,2021-08-22,SunBet Challenge hosted by Time Square Casino,9234,no,no
can,2021,2021-08-21,Forme Open at TPC River's Bend,63,no,no
cha,2021,2021-08-20,Sydbank Esbjerg Challenge,2021330,no,no
pga,2021,2021-08-15,Wyndham Championship,13,yes,yes
kft,2021,2021-08-15,Pinnacle Bank Championship presented by Aetna,151,no,no
champ,2021,2021-08-15,Shaw Charity Classic,17,no,no
ept,2021,2021-08-15,The Cubefunder Championship,9220,no,no
pgt,2021,2021-08-15,Wolf Open,9221,no,no
euro,2021,2021-08-15,Cazoo Classic,2021128,no,no
kor,2021,2021-08-15,The 64th KPGA Championship with A-ONE CC,9219,no,no
cha,2021,2021-08-14,Made in Esbjerg Challenge – Presented by FREJA & Total,2021315,no,no
can,2021,2021-08-13,The Fuzzy Zoeller Classic at Covered Bridge Golf Club,67,no,no
ept,2021,2021-08-08,Nokia Masters,9208,no,no
kft,2021,2021-08-08,Utah Championship presented by Zions Bank,150,no,no
pga,2021,2021-08-08,Barracuda Championship,472,no,no
euro,2021,2021-08-08,Hero Open,2021126,no,no
ngl,2021,2021-08-08,Frederikshavn Championship - Presented by Sydbank,9209,no,no
afr,2021,2021-08-08,Vodacom Origins of Golf - De Zalze,9211,no,no
cha,2021,2021-08-08,Vierumäki Finnish Challenge,2021314,no,no
pga,2021,2021-08-08,World Golf Championships-FedEx St. Jude Invitational,476,yes,yes
atvt,2021,2021-08-01,Minami Akita CC Michinoku Challenge,9203,no,no
